Source,Target,Type,Weight
1,5,Directed,1.0
2,4,Directed,1.0
2,5,Directed,1.0
2,6,Directed,2.0
2,5430,Directed,1.0
3,2,Directed,1.0
3,5,Directed,2.0
3,5434,Directed,2.0
3,5431,Directed,1.0
4,2,Directed,1.0
4,5,Directed,2.0
4,5435,Directed,1.0
4,5430,Directed,1.0
4,5424,Directed,1.0
5,1,Directed,1.0
5,2,Directed,1.0
5,3,Directed,2.0
5,4,Directed,2.0
5,6,Directed,1.0
5,2279,Directed,1.0
5,2397,Directed,1.0
5,3077,Directed,1.0
5,3316,Directed,1.0
5,3320,Directed,2.0
5,3322,Directed,2.0
5,3361,Directed,1.0
5,4074,Directed,1.0
5,5984,Directed,1.0
5,5979,Directed,1.0
5,5437,Directed,1.0
5,5436,Directed,1.0
5,5435,Directed,1.0
5,5434,Directed,1.0
5,5433,Directed,1.0
5,5431,Directed,1.0
5,5430,Directed,1.0
5,5429,Directed,1.0
5,5428,Directed,1.0
5,5427,Directed,1.0
5,5425,Directed,2.0
5,5424,Directed,1.0
5,5423,Directed,2.0
5,5422,Directed,2.0
5,5421,Directed,1.0
5,5420,Directed,1.0
5,5419,Directed,1.0
6,2,Directed,2.0
6,3,Directed,1.0
6,5,Directed,1.0
6,5436,Directed,1.0
7,8,Directed,1.0
7,9,Directed,1.0
7,18,Directed,1.0
7,5445,Directed,1.0
7,5442,Directed,1.0
7,5440,Directed,1.0
8,7,Directed,1.0
8,9,Directed,1.0
8,16,Directed,1.0
8,18,Directed,1.0
8,4248,Directed,1.0
8,5447,Directed,1.0
8,5443,Directed,1.0
8,5440,Directed,1.0
9,7,Directed,1.0
9,8,Directed,1.0
9,18,Directed,1.0
9,609,Directed,1.0
9,3995,Directed,1.0
9,3997,Directed,1.0
9,5447,Directed,1.0
9,5443,Directed,1.0
11,18,Directed,1.0
12,18,Directed,1.0
15,18,Directed,1.0
16,8,Directed,1.0
16,193,Directed,1.0
16,337,Directed,1.0
16,340,Directed,1.0
16,421,Directed,1.0
16,478,Directed,1.0
16,502,Directed,1.0
16,507,Directed,1.0
16,548,Directed,1.0
16,580,Directed,1.0
16,609,Directed,2.0
16,625,Directed,1.0
16,644,Directed,2.0
16,679,Directed,1.0
16,737,Directed,1.0
16,1212,Directed,2.0
16,1382,Directed,1.0
16,3448,Directed,1.0
16,3494,Directed,1.0
16,3577,Directed,1.0
16,3797,Directed,1.0
16,4167,Directed,1.0
18,7,Directed,1.0
18,8,Directed,1.0
18,11,Directed,1.0
18,12,Directed,1.0
18,15,Directed,1.0
18,625,Directed,1.0
18,3995,Directed,1.0
18,4248,Directed,1.0
18,5439,Directed,1.0
21,121,Directed,1.0
21,133,Directed,1.0
24,189,Directed,1.0
24,5485,Directed,2.0
27,111,Directed,1.0
27,192,Directed,1.0
28,71,Directed,1.0
28,146,Directed,1.0
28,202,Directed,1.0
29,132,Directed,2.0
29,147,Directed,1.0
29,196,Directed,1.0
30,119,Directed,2.0
30,156,Directed,2.0
32,37,Directed,2.0
32,69,Directed,1.0
32,128,Directed,1.0
32,183,Directed,1.0
32,196,Directed,2.0
37,32,Directed,2.0
37,68,Directed,1.0
37,196,Directed,2.0
40,55,Directed,2.0
40,75,Directed,2.0
41,132,Directed,1.0
41,140,Directed,1.0
41,147,Directed,1.0
41,5487,Directed,1.0
42,54,Directed,1.0
42,97,Directed,1.0
42,176,Directed,1.0
45,77,Directed,1.0
45,188,Directed,1.0
45,189,Directed,1.0
45,193,Directed,1.0
48,156,Directed,1.0
48,180,Directed,1.0
49,72,Directed,1.0
49,87,Directed,1.0
49,90,Directed,2.0
49,99,Directed,1.0
49,100,Directed,1.0
49,119,Directed,1.0
49,120,Directed,1.0
49,122,Directed,1.0
49,136,Directed,1.0
49,146,Directed,1.0
49,156,Directed,2.0
49,160,Directed,1.0
49,166,Directed,1.0
49,168,Directed,1.0
49,175,Directed,1.0
49,176,Directed,1.0
49,178,Directed,2.0
49,180,Directed,1.0
49,184,Directed,1.0
49,193,Directed,2.0
49,196,Directed,3.0
49,507,Directed,1.0
49,1780,Directed,1.0
49,1826,Directed,1.0
49,1836,Directed,1.0
49,1840,Directed,1.0
49,1852,Directed,1.0
49,3462,Directed,2.0
49,3484,Directed,1.0
49,3550,Directed,1.0
49,3839,Directed,1.0
49,3877,Directed,1.0
49,3878,Directed,1.0
49,7266,Directed,1.0
50,132,Directed,2.0
50,187,Directed,1.0
50,5534,Directed,1.0
54,42,Directed,1.0
54,68,Directed,1.0
54,97,Directed,1.0
54,139,Directed,1.0
54,145,Directed,1.0
54,155,Directed,2.0
54,206,Directed,1.0
54,4239,Directed,1.0
54,4244,Directed,1.0
55,40,Directed,2.0
55,100,Directed,2.0
55,132,Directed,2.0
55,140,Directed,2.0
55,148,Directed,2.0
55,154,Directed,1.0
55,170,Directed,2.0
55,5495,Directed,2.0
58,160,Directed,2.0
58,5524,Directed,2.0
60,196,Directed,2.0
62,146,Directed,1.0
62,5516,Directed,1.0
62,5496,Directed,1.0
62,6727,Directed,1.0
65,111,Directed,1.0
65,6775,Directed,1.0
67,115,Directed,1.0
67,121,Directed,1.0
67,169,Directed,1.0
67,5527,Directed,1.0
68,37,Directed,1.0
68,54,Directed,1.0
69,32,Directed,1.0
69,183,Directed,1.0
69,196,Directed,1.0
70,178,Directed,1.0
70,1760,Directed,1.0
70,1852,Directed,1.0
70,3878,Directed,1.0
71,28,Directed,1.0
71,111,Directed,1.0
71,153,Directed,1.0
71,7254,Directed,1.0
72,49,Directed,1.0
72,136,Directed,1.0
72,196,Directed,1.0
73,100,Directed,3.0
73,146,Directed,2.0
73,178,Directed,1.0
73,189,Directed,3.0
73,193,Directed,2.0
73,502,Directed,1.0
73,507,Directed,1.0
73,1441,Directed,1.0
73,1760,Directed,2.0
73,1761,Directed,1.0
73,1780,Directed,2.0
73,1852,Directed,2.0
73,1910,Directed,2.0
73,1918,Directed,1.0
73,1923,Directed,1.0
73,3533,Directed,1.0
73,3617,Directed,1.0
73,3646,Directed,2.0
73,3878,Directed,3.0
73,4069,Directed,1.0
73,5852,Directed,1.0
73,5810,Directed,1.0
75,40,Directed,2.0
75,5495,Directed,1.0
77,45,Directed,1.0
78,87,Directed,1.0
78,172,Directed,1.0
78,178,Directed,1.0
79,100,Directed,1.0
79,178,Directed,1.0
80,111,Directed,1.0
80,154,Directed,1.0
80,161,Directed,1.0
80,202,Directed,1.0
85,178,Directed,1.0
87,49,Directed,1.0
87,78,Directed,1.0
87,156,Directed,2.0
87,172,Directed,1.0
87,178,Directed,1.0
87,184,Directed,1.0
87,193,Directed,2.0
87,1836,Directed,1.0
87,1840,Directed,1.0
87,1852,Directed,1.0
87,3877,Directed,1.0
90,49,Directed,2.0
90,109,Directed,1.0
90,178,Directed,1.0
90,193,Directed,1.0
91,143,Directed,1.0
91,5490,Directed,1.0
94,202,Directed,1.0
94,5503,Directed,1.0
97,42,Directed,1.0
97,54,Directed,1.0
98,178,Directed,1.0
99,49,Directed,1.0
99,7266,Directed,1.0
100,49,Directed,1.0
100,55,Directed,2.0
100,73,Directed,3.0
100,79,Directed,1.0
100,117,Directed,1.0
100,133,Directed,1.0
100,144,Directed,1.0
100,146,Directed,1.0
100,156,Directed,2.0
100,160,Directed,2.0
100,177,Directed,1.0
100,178,Directed,2.0
100,189,Directed,1.0
100,193,Directed,2.0
100,340,Directed,1.0
100,507,Directed,1.0
100,1760,Directed,1.0
100,1780,Directed,1.0
100,1852,Directed,1.0
100,3533,Directed,2.0
100,3646,Directed,1.0
100,3877,Directed,1.0
100,3878,Directed,2.0
105,169,Directed,1.0
105,5464,Directed,1.0
108,156,Directed,1.0
108,173,Directed,1.0
109,90,Directed,1.0
109,136,Directed,1.0
111,27,Directed,1.0
111,65,Directed,1.0
111,71,Directed,1.0
111,80,Directed,1.0
111,144,Directed,1.0
111,146,Directed,1.0
111,192,Directed,1.0
111,193,Directed,1.0
111,202,Directed,1.0
