Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Sao Paulo,Brazil,-23.55,-46.633,2020-02-25,1
Brazil,Brazil,-14.2,-51.9,2020-02-25,1
Sao Paulo,Brazil,-23.55,-46.633,2020-02-26,0
Brazil,Brazil,-14.2,-51.9,2020-02-26,0
Sao Paulo,Brazil,-23.55,-46.633,2020-02-27,0
Brazil,Brazil,-14.2,-51.9,2020-02-27,0
Sao Paulo,Brazil,-23.55,-46.633,2020-02-28,1
Brazil,Brazil,-14.2,-51.9,2020-02-28,1
Sao Paulo,Brazil,-23.55,-46.633,2020-02-29,0
Brazil,Brazil,-14.2,-51.9,2020-02-29,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-01,0
Brazil,Brazil,-14.2,-51.9,2020-03-01,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-02,0
Brazil,Brazil,-14.2,-51.9,2020-03-02,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-03,0
Brazil,Brazil,-14.2,-51.9,2020-03-03,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-04,1
Brazil,Brazil,-14.2,-51.9,2020-03-04,1
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-05,1
Sao Paulo,Brazil,-23.55,-46.633,2020-03-05,3
Brazil,Brazil,-14.2,-51.9,2020-03-05,4
Bahia,Brazil,-12.975,-38.477,2020-03-06,1
Espirito Santo,Brazil,-20.289,-40.308,2020-03-06,1
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-06,1
Sao Paulo,Brazil,-23.55,-46.633,2020-03-06,4
Brazil,Brazil,-14.2,-51.9,2020-03-06,7
Bahia,Brazil,-12.975,-38.477,2020-03-07,1
Distrito Federal,Brazil,-15.794,-47.883,2020-03-07,1
Espirito Santo,Brazil,-20.289,-40.308,2020-03-07,0
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-07,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-07,3
Brazil,Brazil,-14.2,-51.9,2020-03-07,5
