Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Río Negro,Argentina,-40.8,-63.0,08/20/20,183
Río Negro,Argentina,-40.8,-63.0,09/14/20,278
Río Negro,Argentina,-40.8,-63.0,09/07/20,203
Río Negro,Argentina,-40.8,-63.0,06/14/20,5
Río Negro,Argentina,-40.8,-63.0,07/08/20,21
Río Negro,Argentina,-40.8,-63.0,03/23/20,2
Río Negro,Argentina,-40.8,-63.0,06/15/20,27
Río Negro,Argentina,-40.8,-63.0,07/21/20,61
Río Negro,Argentina,-40.8,-63.0,08/18/20,161
Río Negro,Argentina,-40.8,-63.0,09/08/20,336
Río Negro,Argentina,-40.8,-63.0,09/12/20,209
Río Negro,Argentina,-40.8,-63.0,12/21/20,323
Río Negro,Argentina,-40.8,-63.0,11/11/20,300
Río Negro,Argentina,-40.8,-63.0,09/06/20,111
Río Negro,Argentina,-40.8,-63.0,07/31/20,98
Río Negro,Argentina,-40.8,-63.0,04/15/20,11
Río Negro,Argentina,-40.8,-63.0,05/02/20,8
Río Negro,Argentina,-40.8,-63.0,11/12/20,403
Río Negro,Argentina,-40.8,-63.0,06/03/20,16
Río Negro,Argentina,-40.8,-63.0,06/10/20,18
Río Negro,Argentina,-40.8,-63.0,07/05/20,2
Río Negro,Argentina,-40.8,-63.0,12/31/20,201
Río Negro,Argentina,-40.8,-63.0,01/10/21,165
Río Negro,Argentina,-40.8,-63.0,01/25/21,364
Río Negro,Argentina,-40.8,-63.0,08/05/20,146
Río Negro,Argentina,-40.8,-63.0,10/07/20,346
Río Negro,Argentina,-40.8,-63.0,04/17/20,5
Río Negro,Argentina,-40.8,-63.0,05/21/20,2
Río Negro,Argentina,-40.8,-63.0,12/29/20,345
Río Negro,Argentina,-40.8,-63.0,06/06/20,18
Río Negro,Argentina,-40.8,-63.0,10/11/20,106
Río Negro,Argentina,-40.8,-63.0,12/11/20,267
Río Negro,Argentina,-40.8,-63.0,04/07/20,8
Río Negro,Argentina,-40.8,-63.0,01/31/21,26
Río Negro,Argentina,-40.8,-63.0,09/26/20,189
Río Negro,Argentina,-40.8,-63.0,11/21/20,137
Río Negro,Argentina,-40.8,-63.0,09/13/20,81
Río Negro,Argentina,-40.8,-63.0,07/14/20,25
Río Negro,Argentina,-40.8,-63.0,07/04/20,19
Río Negro,Argentina,-40.8,-63.0,05/12/20,6
Río Negro,Argentina,-40.8,-63.0,10/17/20,266
Río Negro,Argentina,-40.8,-63.0,08/15/20,130
Río Negro,Argentina,-40.8,-63.0,05/06/20,5
Río Negro,Argentina,-40.8,-63.0,01/28/21,295
Río Negro,Argentina,-40.8,-63.0,05/30/20,4
Río Negro,Argentina,-40.8,-63.0,12/24/20,219
Río Negro,Argentina,-40.8,-63.0,03/18/20,1
Río Negro,Argentina,-40.8,-63.0,09/01/20,220
Río Negro,Argentina,-40.8,-63.0,10/21/20,446
Río Negro,Argentina,-40.8,-63.0,12/04/20,249
Río Negro,Argentina,-40.8,-63.0,08/08/20,70
Río Negro,Argentina,-40.8,-63.0,11/03/20,408
Río Negro,Argentina,-40.8,-63.0,01/03/21,230
Río Negro,Argentina,-40.8,-63.0,10/23/20,441
Río Negro,Argentina,-40.8,-63.0,09/27/20,51
Río Negro,Argentina,-40.8,-63.0,06/26/20,31
Río Negro,Argentina,-40.8,-63.0,11/09/20,475
Río Negro,Argentina,-40.8,-63.0,10/28/20,431
Río Negro,Argentina,-40.8,-63.0,05/03/20,4
Río Negro,Argentina,-40.8,-63.0,01/09/21,250
Río Negro,Argentina,-40.8,-63.0,09/15/20,313
Río Negro,Argentina,-40.8,-63.0,12/25/20,95
Río Negro,Argentina,-40.8,-63.0,10/05/20,384
Río Negro,Argentina,-40.8,-63.0,04/05/20,5
Río Negro,Argentina,-40.8,-63.0,10/26/20,346
Río Negro,Argentina,-40.8,-63.0,12/20/20,68
Río Negro,Argentina,-40.8,-63.0,06/24/20,47
Río Negro,Argentina,-40.8,-63.0,12/05/20,129
Río Negro,Argentina,-40.8,-63.0,05/01/20,13
Río Negro,Argentina,-40.8,-63.0,12/12/20,176
Río Negro,Argentina,-40.8,-63.0,06/16/20,18
Río Negro,Argentina,-40.8,-63.0,11/10/20,428
Río Negro,Argentina,-40.8,-63.0,07/24/20,59
Río Negro,Argentina,-40.8,-63.0,11/04/20,283
Río Negro,Argentina,-40.8,-63.0,07/20/20,49
Río Negro,Argentina,-40.8,-63.0,08/06/20,151
Río Negro,Argentina,-40.8,-63.0,10/18/20,116
Río Negro,Argentina,-40.8,-63.0,07/07/20,25
Río Negro,Argentina,-40.8,-63.0,10/29/20,373
Río Negro,Argentina,-40.8,-63.0,05/04/20,7
Río Negro,Argentina,-40.8,-63.0,11/14/20,177
Río Negro,Argentina,-40.8,-63.0,09/22/20,293
Río Negro,Argentina,-40.8,-63.0,08/27/20,219
Río Negro,Argentina,-40.8,-63.0,08/29/20,143
Río Negro,Argentina,-40.8,-63.0,09/16/20,285
Río Negro,Argentina,-40.8,-63.0,11/01/20,106
Río Negro,Argentina,-40.8,-63.0,05/25/20,3
Río Negro,Argentina,-40.8,-63.0,07/11/20,36
Río Negro,Argentina,-40.8,-63.0,11/17/20,309
Río Negro,Argentina,-40.8,-63.0,08/28/20,166
Río Negro,Argentina,-40.8,-63.0,11/24/20,372
Río Negro,Argentina,-40.8,-63.0,08/24/20,166
Río Negro,Argentina,-40.8,-63.0,10/01/20,323
Río Negro,Argentina,-40.8,-63.0,09/20/20,82
Río Negro,Argentina,-40.8,-63.0,04/01/20,4
Río Negro,Argentina,-40.8,-63.0,12/26/20,241
Río Negro,Argentina,-40.8,-63.0,08/30/20,69
Río Negro,Argentina,-40.8,-63.0,12/03/20,197
Río Negro,Argentina,-40.8,-63.0,10/15/20,463
Río Negro,Argentina,-40.8,-63.0,06/01/20,14
Río Negro,Argentina,-40.8,-63.0,08/13/20,120
Río Negro,Argentina,-40.8,-63.0,08/23/20,63
Río Negro,Argentina,-40.8,-63.0,11/18/20,284
Río Negro,Argentina,-40.8,-63.0,11/22/20,63
Río Negro,Argentina,-40.8,-63.0,06/30/20,21
