Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Sao Paulo,Brazil,-23.55,-46.633,02/25/20,1
Brazil,Brazil,-14.2,-51.9,02/25/20,1
Sao Paulo,Brazil,-23.55,-46.633,02/26/20,0
Brazil,Brazil,-14.2,-51.9,02/26/20,0
Sao Paulo,Brazil,-23.55,-46.633,02/27/20,0
Brazil,Brazil,-14.2,-51.9,02/27/20,0
Sao Paulo,Brazil,-23.55,-46.633,02/28/20,1
Brazil,Brazil,-14.2,-51.9,02/28/20,1
Sao Paulo,Brazil,-23.55,-46.633,02/29/20,0
Brazil,Brazil,-14.2,-51.9,02/29/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/01/20,0
Brazil,Brazil,-14.2,-51.9,03/01/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/02/20,0
Brazil,Brazil,-14.2,-51.9,03/02/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/03/20,0
Brazil,Brazil,-14.2,-51.9,03/03/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/04/20,1
Brazil,Brazil,-14.2,-51.9,03/04/20,1
Rio de Janeiro,Brazil,-22.911,-43.206,03/05/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/05/20,3
Brazil,Brazil,-14.2,-51.9,03/05/20,4
Bahia,Brazil,-12.975,-38.477,03/06/20,1
Espirito Santo,Brazil,-20.289,-40.308,03/06/20,1
Rio de Janeiro,Brazil,-22.911,-43.206,03/06/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/06/20,4
Brazil,Brazil,-14.2,-51.9,03/06/20,7
Bahia,Brazil,-12.975,-38.477,03/07/20,1
Distrito Federal,Brazil,-15.794,-47.883,03/07/20,1
Espirito Santo,Brazil,-20.289,-40.308,03/07/20,0
Rio de Janeiro,Brazil,-22.911,-43.206,03/07/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/07/20,3
Brazil,Brazil,-14.2,-51.9,03/07/20,5
Alagoas,Brazil,-9.666,-35.735,03/08/20,1
Bahia,Brazil,-12.975,-38.477,03/08/20,0
Distrito Federal,Brazil,-15.794,-47.883,03/08/20,0
Espirito Santo,Brazil,-20.289,-40.308,03/08/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/08/20,1
Rio de Janeiro,Brazil,-22.911,-43.206,03/08/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/08/20,3
Brazil,Brazil,-14.2,-51.9,03/08/20,6
Alagoas,Brazil,-9.666,-35.735,03/09/20,0
Bahia,Brazil,-12.975,-38.477,03/09/20,0
Distrito Federal,Brazil,-15.794,-47.883,03/09/20,0
Espirito Santo,Brazil,-20.289,-40.308,03/09/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/09/20,0
Rio de Janeiro,Brazil,-22.911,-43.206,03/09/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/09/20,0
Brazil,Brazil,-14.2,-51.9,03/09/20,0
Alagoas,Brazil,-9.666,-35.735,03/10/20,0
Bahia,Brazil,-12.975,-38.477,03/10/20,0
Distrito Federal,Brazil,-15.794,-47.883,03/10/20,0
Espirito Santo,Brazil,-20.289,-40.308,03/10/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/10/20,0
Rio de Janeiro,Brazil,-22.911,-43.206,03/10/20,5
Rio Grande do Sul,Brazil,-30.033,-51.23,03/10/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/10/20,3
Brazil,Brazil,-14.2,-51.9,03/10/20,9
Alagoas,Brazil,-9.666,-35.735,03/11/20,0
Bahia,Brazil,-12.975,-38.477,03/11/20,1
Distrito Federal,Brazil,-15.794,-47.883,03/11/20,1
Espirito Santo,Brazil,-20.289,-40.308,03/11/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/11/20,0
Rio de Janeiro,Brazil,-22.911,-43.206,03/11/20,5
Rio Grande do Sul,Brazil,-30.033,-51.23,03/11/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/11/20,11
Brazil,Brazil,-14.2,-51.9,03/11/20,19
Alagoas,Brazil,-9.666,-35.735,03/12/20,0
Bahia,Brazil,-12.975,-38.477,03/12/20,0
Distrito Federal,Brazil,-15.794,-47.883,03/12/20,0
Espirito Santo,Brazil,-20.289,-40.308,03/12/20,0
Goias,Brazil,-16.667,-49.25,03/12/20,3
Minas Gerais,Brazil,-19.917,-43.933,03/12/20,1
Pernambuco,Brazil,-8.05,-34.9,03/12/20,2
Parana,Brazil,-25.417,-49.25,03/12/20,6
